                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.53772,                0.30214,                0.97833,                0.99906,                      1,                  0.995,                0.88085,                0.56135,                0.24496,                0.95025,               0.000515,               0.000515,               0.000515
                     77,                0.50466,                0.29219,                 0.9772,                0.99903,                      1,                  0.995,                 0.8623,                0.55345,                 0.2385,                0.93845,              0.0004952,              0.0004952,              0.0004952
                     78,                0.52499,                0.30608,                 0.9822,                0.99893,                      1,                  0.995,                0.86742,                0.57259,                0.24133,                0.94457,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.5329,                0.30285,                 0.9956,                0.99901,                      1,                  0.995,                0.87126,                0.60356,                0.25159,                0.97173,              0.0004556,              0.0004556,              0.0004556
                     80,                  0.513,                0.29644,                 1.0033,                0.99905,                      1,                  0.995,                0.87271,                0.55635,                0.24016,                0.93957,              0.0004358,              0.0004358,              0.0004358
                     81,                0.49747,                0.28681,                0.98659,                0.99907,                      1,                  0.995,                0.90387,                0.53111,                0.23143,                0.92952,               0.000416,               0.000416,               0.000416
                     82,                0.50009,                0.29272,                0.97783,                0.99901,                      1,                  0.995,                0.88954,                0.53527,                0.23474,                0.92953,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.4879,                0.27469,                0.97682,                0.99879,                      1,                  0.995,                0.89481,                0.52346,                0.23044,                0.92422,              0.0003764,              0.0003764,              0.0003764
                     84,                0.46975,                0.26402,                0.97421,                0.99867,                      1,                  0.995,                0.87843,                0.53065,                0.23528,                0.93157,              0.0003566,              0.0003566,              0.0003566
                     85,                0.49035,                0.27714,                0.96778,                0.99884,                      1,                  0.995,                0.87923,                0.55617,                0.24445,                0.95103,              0.0003368,              0.0003368,              0.0003368
                     86,                0.51149,                0.27553,                0.96973,                0.99881,                      1,                  0.995,                0.88382,                 0.5515,                0.24025,                0.94643,               0.000317,               0.000317,               0.000317
                     87,                0.51247,                0.27808,                0.98077,                0.99874,                      1,                  0.995,                0.87798,                0.55311,                0.23642,                0.94349,              0.0002972,              0.0002972,              0.0002972
                     88,                0.48644,                 0.2681,                0.95102,                0.99883,                      1,                  0.995,                0.88446,                0.54607,                0.22696,                0.93579,              0.0002774,              0.0002774,              0.0002774
                     89,                  0.457,                0.26879,                0.96451,                0.99897,                      1,                  0.995,                0.88885,                0.52751,                0.21705,                0.92725,              0.0002576,              0.0002576,              0.0002576
                     90,                0.47112,                0.25589,                0.94829,                0.99896,                      1,                  0.995,                0.89075,                0.51799,                0.21018,                0.92267,              0.0002378,              0.0002378,              0.0002378
                     91,                0.45102,                0.24273,                0.95751,                0.99903,                      1,                  0.995,                0.89822,                0.52388,                 0.2194,                0.92519,               0.000218,               0.000218,               0.000218
                     92,                0.48962,                0.26871,                0.97308,                0.99905,                      1,                  0.995,                0.91428,                0.51056,                0.21226,                0.91351,              0.0001982,              0.0001982,              0.0001982
                     93,                0.45872,                0.25508,                0.93727,                0.99906,                      1,                  0.995,                0.90791,                0.52086,                0.21533,                0.92017,              0.0001784,              0.0001784,              0.0001784
                     94,                0.46904,                0.25843,                0.95638,                0.99904,                      1,                  0.995,                0.90066,                0.53076,                0.22207,                0.92825,              0.0001586,              0.0001586,              0.0001586
                     95,                0.49062,                0.26518,                0.96211,                0.99906,                      1,                  0.995,                0.89428,                0.53554,                0.22098,                0.93792,              0.0001388,              0.0001388,              0.0001388
                     96,                0.50618,                0.26647,                0.98115,                0.99906,                      1,                  0.995,                0.90117,                0.53218,                0.21937,                0.93655,               0.000119,               0.000119,               0.000119
                     97,                0.48735,                0.26249,                0.98056,                0.99907,                      1,                  0.995,                0.89603,                 0.5336,                0.21703,                0.93281,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.46696,                0.25288,                0.95711,                0.99908,                      1,                  0.995,                0.89006,                0.53368,                0.21326,                0.93145,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.47158,                0.25717,                0.96853,                0.99908,                      1,                  0.995,                0.89269,                0.52963,                0.21133,                0.92999,               5.96e-05,               5.96e-05,               5.96e-05
